Synthetic Randles Cell EIS

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg
1.000000e+05, 5.000001e+01, 7.957747e-02, 5.000008e+01, -9.118896e-02
7.543120e+04, 5.000002e+01, 1.054968e-01, 5.000013e+01, -1.208901e-01
5.689866e+04, 5.000004e+01, 1.398582e-01, 5.000023e+01, -1.602652e-01
4.291934e+04, 5.000007e+01, 1.854116e-01, 5.000041e+01, -2.124648e-01
3.237458e+04, 5.000012e+01, 2.458023e-01, 5.000073e+01, -2.816657e-01
2.442053e+04, 5.000021e+01, 3.258628e-01, 5.000127e+01, -3.734044e-01
1.842070e+04, 5.000037e+01, 4.319999e-01, 5.000224e+01, -4.950195e-01
1.389495e+04, 5.000066e+01, 5.727069e-01, 5.000394e+01, -6.562365e-01
1.048113e+04, 5.000115e+01, 7.592433e-01, 5.000692e+01, -8.699418e-01
7.906043e+03, 5.000203e+01, 1.006536e+00, 5.001216e+01, -1.153202e+00
5.963623e+03, 5.000356e+01, 1.334372e+00, 5.002136e+01, -1.528606e+00
4.498433e+03, 5.000626e+01, 1.768982e+00, 5.003754e+01, -2.026006e+00
3.393222e+03, 5.001100e+01, 2.345138e+00, 5.006595e+01, -2.684772e+00
2.559548e+03, 5.001933e+01, 3.108924e+00, 5.011586e+01, -3.556612e+00
1.930698e+03, 5.003397e+01, 4.121415e+00, 5.020343e+01, -4.708956e+00
1.456348e+03, 5.005971e+01, 5.463525e+00, 5.035697e+01, -6.228619e+00
1.098541e+03, 5.010493e+01, 7.242403e+00, 5.062565e+01, -8.224837e+00
8.286428e+02, 5.018438e+01, 9.599809e+00, 5.109431e+01, -1.082933e+01
6.250552e+02, 5.032396e+01, 1.272302e+01, 5.190738e+01, -1.418834e+01
4.714866e+02, 5.056908e+01, 1.685878e+01, 5.330526e+01, -1.843742e+01
3.556480e+02, 5.099931e+01, 2.233062e+01, 5.567393e+01, -2.364675e+01
2.682696e+02, 5.175364e+01, 2.955921e+01, 5.960022e+01, -2.973295e+01
2.023590e+02, 5.307388e+01, 3.908315e+01, 6.591153e+01, -3.636761e+01
1.526418e+02, 5.537734e+01, 5.157280e+01, 7.567300e+01, -4.296267e+01
1.151395e+02, 5.937436e+01, 6.781814e+01, 9.013664e+01, -4.879806e+01
8.685114e+01, 6.624482e+01, 8.864827e+01, 1.106657e+02, -5.323008e+01
6.551286e+01, 7.786466e+01, 1.146991e+02, 1.386319e+02, -5.582898e+01
4.941713e+01, 9.698878e+01, 1.458987e+02, 1.751949e+02, -5.638532e+01
3.727594e+01, 1.270950e+02, 1.805654e+02, 2.208098e+02, -5.485935e+01
2.811769e+01, 1.713245e+02, 2.143423e+02, 2.743987e+02, -5.136454e+01
2.120951e+01, 2.301211e+02, 2.400353e+02, 3.325247e+02, -4.620802e+01
1.599859e+01, 2.986982e+02, 2.499966e+02, 3.895111e+02, -3.992778e+01
1.206793e+01, 3.674717e+02, 2.407230e+02, 4.392984e+02, -3.322796e+01
9.102982e+00, 4.267514e+02, 2.154857e+02, 4.780699e+02, -2.679123e+01
6.866488e+00, 4.715370e+02, 1.818655e+02, 5.053931e+02, -2.109096e+01
5.179475e+00, 5.021169e+02, 1.471351e+02, 5.232305e+02, -1.633215e+01
3.906940e+00, 5.215822e+02, 1.157641e+02, 5.342746e+02, -1.251383e+01
2.947052e+00, 5.334246e+02, 8.951511e+01, 5.408833e+02, -9.526166e+00
2.222996e+00, 5.404321e+02, 6.850110e+01, 5.447562e+02, -7.223859e+00
1.676833e+00, 5.445107e+02, 5.210092e+01, 5.469977e+02, -5.465645e+00
1.264855e+00, 5.468618e+02, 3.948720e+01, 5.482856e+02, -4.129983e+00
9.540955e-01, 5.482096e+02, 2.986646e+01, 5.490225e+02, -3.118392e+00
7.196857e-01, 5.489797e+02, 2.256346e+01, 5.494432e+02, -2.353573e+00
5.428675e-01, 5.494190e+02, 1.703487e+01, 5.496830e+02, -1.775901e+00
4.094915e-01, 5.496692e+02, 1.285604e+01, 5.498195e+02, -1.339829e+00
3.088844e-01, 5.498117e+02, 9.700235e+00, 5.498973e+02, -1.010755e+00
2.329952e-01, 5.498929e+02, 7.318191e+00, 5.499416e+02, -7.624698e-01
1.757511e-01, 5.499390e+02, 5.520709e+00, 5.499667e+02, -5.751596e-01
1.325711e-01, 5.499653e+02, 4.164556e+00, 5.499811e+02, -4.338581e-01
1.000000e-01, 5.499803e+02, 3.141469e+00, 5.499892e+02, -3.272680e-01
