Synthetic Ferricyanide CV

Potential/V, Current/A
0.500000, 1.29088321e-06
0.495980, 3.33251202e-06
0.491960, 4.17365009e-06
0.487940, 2.98798527e-06
0.483920, -5.71978202e-07
0.479899, 3.63334757e-06
0.475879, -3.47245292e-06
0.471859, 4.35025485e-06
0.467839, 3.18861272e-06
0.463819, 3.04941561e-06
0.459799, 1.70364626e-06
0.455779, 1.82124691e-06
0.451759, 3.57860576e-07
0.447739, 9.99950560e-07
0.443719, -1.15978373e-06
0.439698, 8.73986762e-07
0.435678, 1.56932832e-06
0.431658, 4.41252228e-06
0.427638, 5.27190235e-07
0.423618, 1.65579060e-07
0.419598, -8.26565831e-07
0.415578, 9.55930083e-08
0.411558, 5.34388732e-06
0.407538, 2.16592104e-07
0.403518, 1.19943387e-06
0.399497, 2.73005216e-06
0.395477, 4.27170541e-06
0.391457, 3.11754243e-06
0.387437, 1.65140402e-06
0.383417, 1.38759749e-07
0.379397, 2.21673150e-06
0.375377, -1.71178678e-06
0.371357, 5.91243093e-06
0.367337, -5.16981912e-09
0.363317, 1.33577364e-06
0.359296, -5.38273108e-07
0.355276, -2.08432817e-06
0.351256, 1.23129276e-06
0.347236, 1.97201012e-06
0.343216, 1.15870515e-06
0.339196, -2.33695629e-06
0.335176, 1.15658821e-06
0.331156, 1.71008629e-07
0.327136, 1.63670047e-06
0.323116, 1.18518103e-06
0.319095, 2.97079694e-08
0.315075, 1.44361781e-06
0.311055, 2.96386139e-06
0.307035, 1.73149942e-06
0.303015, -4.69524489e-07
0.298995, -4.25143978e-07
0.294975, -3.84288310e-06
0.290955, -1.23535190e-05
0.286935, -1.34527381e-05
0.282915, -2.07700981e-05
0.278894, -2.61832951e-05
0.274874, -3.64021282e-05
0.270854, -4.78629595e-05
0.266834, -5.51767558e-05
0.262814, -6.08872716e-05
0.258794, -6.94337700e-05
0.254774, -7.60609537e-05
0.250754, -8.06171530e-05
0.246734, -7.31837679e-05
0.242714, -7.69092555e-05
0.238693, -6.55808087e-05
0.234673, -5.84647670e-05
0.230653, -5.15922740e-05
0.226633, -3.59717560e-05
0.222613, -3.28876177e-05
0.218593, -1.93693629e-05
0.214573, -1.67389100e-05
0.210553, -1.35096806e-05
0.206533, -6.63338256e-06
0.202513, -1.86684839e-06
0.198492, -9.52816306e-07
0.194472, -8.95218363e-07
0.190452, -2.28924112e-06
0.186432, -3.30362332e-06
0.182412, 2.64133382e-06
0.178392, 2.19140217e-06
0.174372, -1.48633630e-06
0.170352, -7.16572627e-07
0.166332, -1.02696775e-06
0.162312, 2.28233098e-06
0.158291, 1.70849843e-06
0.154271, 1.30450641e-06
0.150251, 4.05151158e-06
0.146231, 3.10781590e-07
0.142211, 2.60868478e-06
0.138191, -4.47041919e-07
0.134171, 5.37952653e-06
0.130151, 3.63598822e-07
0.126131, -1.62693532e-06
0.122111, 4.07584627e-07
0.118090, 2.18213355e-06
0.114070, 2.32169954e-06
0.110050, 4.28395714e-06
0.106030, -1.86371353e-06
0.102010, 2.32905671e-06
0.097990, 1.68559296e-06
0.093970, -9.10609944e-07
0.089950, -8.27025902e-07
0.085930, -4.69154872e-07
0.081910, 8.94488314e-07
0.077889, -6.30066063e-08
0.073869, 3.33924935e-06
0.069849, 1.20607325e-06
0.065829, 9.96565532e-07
0.061809, 6.42180661e-07
0.057789, 1.36212857e-06
0.053769, -3.75360125e-07
0.049749, -4.59890090e-06
0.045729, -1.36302793e-06
0.041709, -1.11311892e-06
0.037688, 1.59726879e-06
0.033668, -1.64446947e-06
0.029648, -4.90267789e-07
0.025628, 1.20721170e-06
0.021608, 4.61660754e-06
0.017588, -2.13095059e-07
0.013568, -9.20376597e-07
0.009548, -1.66677615e-06
0.005528, -6.63267742e-09
0.001508, 1.86996516e-06
-0.002513, 3.93657206e-06
-0.006533, 7.96559721e-06
-0.010553, 1.43885745e-05
-0.014573, 1.90769836e-05
-0.018593, 1.89067549e-05
-0.022613, 2.94220621e-05
-0.026633, 4.24804263e-05
-0.030653, 5.00121209e-05
-0.034673, 6.01695228e-05
-0.038693, 7.04252179e-05
-0.042714, 7.74058539e-05
-0.046734, 7.98248576e-05
-0.050754, 7.70943682e-05
-0.054774, 7.77958191e-05
-0.058794, 7.05010394e-05
-0.062814, 6.46770426e-05
-0.066834, 5.32010347e-05
-0.070854, 4.47630618e-05
-0.074874, 3.62361375e-05
-0.078894, 2.64903649e-05
-0.082915, 2.05358639e-05
-0.086935, 1.37847360e-05
-0.090955, 1.33092861e-05
-0.094975, 3.69113158e-06
-0.098995, 6.41428842e-07
-0.103015, 7.07244664e-07
-0.107035, 4.16409385e-06
-0.111055, -6.32387513e-07
-0.115075, 2.45404319e-06
-0.119095, -1.15074239e-06
