BeforeDialysis
2026/6/17 17:18:10
Wavelength (nm)	10mm Absorbance
220	10.523
221	10.197
222	9.744
223	9.114
224	8.308
225	7.349
226	6.513
227	5.961
228	5.479
229	5.073
230	4.664
231	4.215
232	3.776
233	3.244
234	2.633
235	2.173
236	1.799
237	1.508
238	1.260
239	1.030
240	0.882
241	0.788
242	0.718
243	0.650
244	0.593
245	0.554
246	0.519
247	0.494
248	0.472
249	0.454
250	0.442
251	0.432
252	0.416
253	0.404
254	0.403
255	0.397
256	0.392
257	0.396
258	0.394
259	0.393
260	0.395
261	0.396
262	0.397
263	0.397
264	0.397
265	0.394
266	0.394
267	0.394
268	0.394
269	0.394
270	0.392
271	0.395
272	0.398
273	0.397
274	0.397
275	0.398
276	0.397
277	0.396
278	0.393
279	0.389
280	0.383
281	0.377
282	0.371
283	0.358
284	0.345
285	0.333
286	0.320
287	0.302
288	0.286
289	0.271
290	0.253
291	0.237
292	0.219
293	0.201
294	0.188
295	0.173
296	0.160
297	0.147
298	0.136
299	0.127
300	0.119
301	0.113
302	0.103
303	0.095
304	0.088
305	0.083
306	0.080
307	0.076
308	0.072
309	0.068
310	0.064
311	0.064
312	0.060
313	0.056
314	0.053
315	0.051
316	0.050
317	0.046
318	0.043
319	0.039
320	0.038
321	0.037
322	0.034
323	0.035
324	0.033
325	0.030
326	0.030
327	0.028
328	0.026
329	0.023
330	0.018
331	0.013
332	0.008
333	0.008
334	0.005
335	0.003
336	0.002
337	-0.001
338	0.002
339	0.000
340	0.000
341	-0.003
342	-0.005
343	-0.007
344	-0.011
345	-0.011
346	-0.013
347	-0.013
348	-0.017
349	-0.019



