# Unicorn 5 Synthetic Chromatogram
Run_001_UV	Run_001_Cond	Run_001_pH	Run_001_Conc
mL	mAU	mL	mS/cm	mL	pH	mL	%
0.000	54.85	0.000	2.00	0.000	7.04	0.000	0.00
0.050	38.92	0.050	2.06	0.050	7.02	0.050	0.17
0.100	43.09	0.100	2.13	0.100	6.95	0.100	0.33
0.150	39.92	0.150	2.19	0.150	7.11	0.150	0.50
0.200	65.09	0.200	2.25	0.200	7.04	0.200	0.67
0.250	66.28	0.250	2.32	0.250	7.01	0.250	0.83
0.301	31.97	0.301	2.38	0.301	7.00	0.301	1.00
0.351	66.64	0.351	2.44	0.351	6.95	0.351	1.17
0.401	73.33	0.401	2.51	0.401	6.99	0.401	1.34
0.451	66.37	0.451	2.57	0.451	6.91	0.451	1.50
0.501	48.36	0.501	2.63	0.501	6.97	0.501	1.67
0.551	50.26	0.551	2.70	0.551	7.00	0.551	1.84
0.601	35.56	0.601	2.76	0.601	6.97	0.601	2.00
0.651	60.19	0.651	2.82	0.651	6.97	0.651	2.17
0.701	42.74	0.701	2.89	0.701	7.05	0.701	2.34
0.751	16.46	0.751	2.95	0.751	7.00	0.751	2.50
0.801	47.10	0.801	3.02	0.801	6.90	0.801	2.67
0.851	47.23	0.851	3.08	0.851	6.95	0.851	2.84
0.902	38.89	0.902	3.14	0.902	6.99	0.902	3.01
0.952	53.25	0.952	3.21	0.952	6.91	0.952	3.17
1.002	39.50	1.002	3.27	1.002	7.04	1.002	3.34
1.052	53.28	1.052	3.33	1.052	6.87	1.052	3.51
1.102	54.72	1.102	3.40	1.102	6.92	1.102	3.67
1.152	60.65	1.152	3.46	1.152	7.03	1.152	3.84
1.202	43.54	1.202	3.52	1.202	6.90	1.202	4.01
1.252	47.21	1.252	3.59	1.252	6.92	1.252	4.17
1.302	59.20	1.302	3.65	1.302	6.90	1.302	4.34
1.352	55.63	1.352	3.71	1.352	7.02	1.352	4.51
1.402	42.78	1.402	3.78	1.402	6.94	1.402	4.67
1.452	53.11	1.452	3.84	1.452	6.89	1.452	4.84
1.503	34.45	1.503	3.90	1.503	7.01	1.503	5.01
1.553	49.76	1.553	3.97	1.553	6.98	1.553	5.18
1.603	50.49	1.603	4.03	1.603	7.03	1.603	5.34
1.653	58.66	1.653	4.09	1.653	6.90	1.653	5.51
1.703	47.38	1.703	4.16	1.703	6.97	1.703	5.68
1.753	45.31	1.753	4.22	1.753	6.91	1.753	5.84
1.803	57.44	1.803	4.28	1.803	6.99	1.803	6.01
1.853	49.88	1.853	4.35	1.853	6.97	1.853	6.18
1.903	36.12	1.903	4.41	1.903	6.94	1.903	6.34
1.953	61.72	1.953	4.47	1.953	6.92	1.953	6.51
2.003	38.02	2.003	4.54	2.003	6.93	2.003	6.68
2.053	40.77	2.053	4.60	2.053	6.94	2.053	6.84
2.104	55.72	2.104	4.66	2.104	6.89	2.104	7.01
2.154	54.56	2.154	4.73	2.154	6.91	2.154	7.18
2.204	51.54	2.204	4.79	2.204	6.97	2.204	7.35
2.254	66.67	2.254	4.85	2.254	6.93	2.254	7.51
2.304	36.13	2.304	4.92	2.304	7.00	2.304	7.68
2.354	39.43	2.354	4.98	2.354	6.89	2.354	7.85
2.404	57.86	2.404	5.05	2.404	6.90	2.404	8.01
2.454	39.60	2.454	5.11	2.454	6.86	2.454	8.18
2.504	50.02	2.504	5.17	2.504	6.93	2.504	8.35
2.554	47.55	2.554	5.24	2.554	6.86	2.554	8.51
2.604	39.96	2.604	5.30	2.604	6.97	2.604	8.68
2.654	49.01	2.654	5.36	2.654	6.93	2.654	8.85
2.705	53.75	2.705	5.43	2.705	6.85	2.705	9.02
2.755	37.69	2.755	5.49	2.755	6.87	2.755	9.18
2.805	47.74	2.805	5.55	2.805	6.92	2.805	9.35
2.855	37.38	2.855	5.62	2.855	6.87	2.855	9.52
2.905	42.89	2.905	5.68	2.905	6.91	2.905	9.68
2.955	36.11	2.955	5.74	2.955	6.94	2.955	9.85
